,Qty,2023-04-28,2023-04-28_Value,2023-05-02,2023-05-02_Value,2023-05-03,2023-05-03_Value,2023-05-04,2023-05-04_Value,2023-05-05,2023-05-05_Value
BAJAJ-AUTO.NS,166,4431.9501953125,735703.732421875,4498.0,746668.0,4447.85009765625,738343.1162109375,4457.7001953125,739978.232421875,4463.10009765625,740874.6162109375
BAJAJFINSV.NS,530,1354.6500244140625,717964.5129394531,1349.050048828125,714996.5258789062,1347.0,713910.0,1374.449951171875,728458.4741210938,1359.25,720402.5
COLPAL.NS,220,1595.0999755859375,350921.99462890625,1575.3499755859375,346576.99462890625,1584.550048828125,348601.0107421875,1584.449951171875,348578.9892578125,1567.449951171875,344838.9892578125
DIXON.NS,25,2915.300048828125,72882.50122070312,2909.10009765625,72727.50244140625,2908.25,72706.25,2898.0,72450.0,2890.550048828125,72263.75122070312
HDFCBANK.NS,100,1687.5999755859375,168759.99755859375,1687.25,168725.0,1693.1500244140625,169315.00244140625,1727.800048828125,172780.0048828125,1625.6500244140625,162565.00244140625
HEROMOTOCO.NS,25,2558.60009765625,63965.00244140625,2495.89990234375,62397.49755859375,2502.64990234375,62566.24755859375,2514.5,62862.5,2547.25,63681.25
HDFC.NS,50,2775.60009765625,138780.0048828125,2790.0,139500.0,2787.75,139387.5,2862.050048828125,143102.50244140625,2702.300048828125,135115.00244140625
INFY.NS,832,1252.75,1042288.0,1277.449951171875,1062838.359375,1269.1500244140625,1055932.8203125,1273.550048828125,1059593.640625,1259.0999755859375,1047571.1796875
ITC.NS,5000,425.5499877929688,2127749.938964844,424.4500122070313,2122250.0610351567,427.1499938964844,2135749.969482422,424.6000061035156,2123000.030517578,428.75,2143750.0
KANSAINER.NS,9900,380.1499938964844,3763484.9395751953,380.5499877929688,3767444.879150391,390.2000122070313,3862980.12084961,394.2999877929688,3903569.879150391,394.1499938964844,3902084.9395751953
LT.NS,1080,2364.39990234375,2553551.89453125,2384.449951171875,2575205.947265625,2356.300048828125,2544804.052734375,2356.89990234375,2545451.89453125,2377.5,2567700.0
M&M.NS,1440,1226.9000244140625,1766736.03515625,1237.300048828125,1781712.0703125,1235.449951171875,1779047.9296875,1231.699951171875,1773647.9296875,1211.199951171875,1744127.9296875
NESTLEIND.NS,25,21761.400390625,544035.009765625,21745.849609375,543646.240234375,21875.69921875,546892.48046875,21693.75,542343.75,22019.849609375,550496.240234375
PIDILITIND.NS,7900,2419.25,19112075.0,2419.75,19116025.0,2463.949951171875,19465204.614257812,2465.14990234375,19474684.228515625,2472.10009765625,19529590.771484375
PGHH.NS,50,14005.099609375,700254.98046875,13895.4501953125,694772.509765625,13941.599609375,697079.98046875,13972.650390625,698632.51953125,13949.849609375,697492.48046875
RELIANCE.NS,402,2420.5,973041.0,2441.050048828125,981302.1196289062,2420.10009765625,972880.2392578125,2448.0,984096.0,2441.75,981583.5
TCS.NS,408,3219.25,1313454.0,3219.39990234375,1313515.16015625,3179.89990234375,1297399.16015625,3220.699951171875,1314045.580078125,3230.699951171875,1318125.580078125
TATASTEEL.NS,2500,107.9499969482422,269874.9923706055,110.3000030517578,275750.0076293945,109.6999969482422,274249.9923706055,111.0500030517578,277625.0076293945,108.6500015258789,271625.00381469727
TITAN.NS,50,2641.85009765625,132092.5048828125,2663.85009765625,133192.5048828125,2654.050048828125,132702.50244140625,2670.39990234375,133519.9951171875,2732.89990234375,136644.9951171875
ULTRACEMCO.NS,62,7556.2001953125,468484.412109375,7456.60009765625,462309.2060546875,7507.2001953125,465446.412109375,7502.25,465139.5,7628.7998046875,472985.587890625
