,Qty,2023-05-22,2023-05-22_Value,2023-05-23,2023-05-23_Value,2023-05-24,2023-05-24_Value,2023-05-25,2023-05-25_Value,2023-05-26,2023-05-26_Value
BAJAJ-AUTO.NS,166,4523.25,750859.5,4498.10009765625,746684.6162109375,4517.60009765625,749921.6162109375,4644.0,770904.0,4615.9501953125,766247.732421875
BAJAJFINSV.NS,530,1413.0,748890.0,1437.25,761742.5,1426.449951171875,756018.4741210938,1427.3499755859375,756495.4870605469,1439.1500244140625,762749.5129394531
COLPAL.NS,220,1612.1500244140625,354673.00537109375,1585.5,348810.0,1594.0,350680.0,1581.199951171875,347863.9892578125,1600.5,352110.0
DIXON.NS,25,3231.550048828125,80788.75122070312,3275.64990234375,81891.24755859375,3514.300048828125,87857.50122070312,3597.85009765625,89946.25244140625,3661.199951171875,91529.99877929688
HDFCBANK.NS,100,1641.050048828125,164105.0048828125,1637.199951171875,163719.9951171875,1615.800048828125,161580.0048828125,1609.5999755859375,160959.99755859375,1615.800048828125,161580.0048828125
HEROMOTOCO.NS,25,2692.14990234375,67303.74755859375,2710.449951171875,67761.24877929688,2738.699951171875,68467.49877929688,2732.800048828125,68320.00122070312,2745.14990234375,68628.74755859375
HDFC.NS,50,2704.75,135237.5,2705.85009765625,135292.5048828125,2671.75,133587.5,2647.39990234375,132369.9951171875,2650.60009765625,132530.0048828125
INFY.NS,832,1292.800048828125,1075609.640625,1300.050048828125,1081641.640625,1298.6500244140625,1080476.8203125,1304.3499755859375,1085219.1796875,1317.449951171875,1096118.359375
ITC.NS,5000,424.75,2123750.0,429.1499938964844,2145749.969482422,433.5,2167500.0,441.1499938964844,2205749.969482422,443.6000061035156,2218000.030517578
KANSAINER.NS,9900,408.1000061035156,4040190.0604248047,409.8999938964844,4058009.9395751953,411.20001220703125,4070880.1208496094,410.1499938964844,4060484.9395751953,410.29998779296875,4061969.8791503906
LT.NS,1080,2216.60009765625,2393928.10546875,2197.64990234375,2373461.89453125,2185.14990234375,2359961.89453125,2204.699951171875,2381075.947265625,2218.449951171875,2395925.947265625
M&M.NS,1440,1265.550048828125,1822392.0703125,1268.550048828125,1826712.0703125,1275.699951171875,1837007.9296875,1277.800048828125,1840032.0703125,1281.8499755859375,1845863.96484375
NESTLEIND.NS,25,21494.80078125,537370.01953125,21403.69921875,535092.48046875,21380.599609375,534514.990234375,21474.900390625,536872.509765625,21581.75,539543.75
PIDILITIND.NS,7900,2535.199951171875,20028079.614257812,2533.300048828125,20013070.385742188,2526.64990234375,19960534.228515625,2523.25,19933675.0,2586.14990234375,20430584.228515625
PGHH.NS,50,13505.2001953125,675260.009765625,13457.849609375,672892.48046875,13528.0,676400.0,13420.7998046875,671039.990234375,13439.9501953125,671997.509765625
RELIANCE.NS,402,2455.0,986910.0,2454.550048828125,986729.1196289062,2440.25,980980.5,2439.949951171875,980859.8803710938,2506.5,1007613.0
TCS.NS,408,3298.699951171875,1345869.580078125,3297.050048828125,1345196.419921875,3303.35009765625,1347766.83984375,3293.5,1343748.0,3328.89990234375,1358191.16015625
TATASTEEL.NS,2500,105.0,262500.0,105.5999984741211,263999.99618530273,105.19999694824219,262999.99237060547,104.8499984741211,262124.99618530273,106.4000015258789,266000.00381469727
TITAN.NS,50,2712.550048828125,135627.50244140625,2683.449951171875,134172.49755859375,2707.25,135362.5,2707.949951171875,135397.49755859375,2742.14990234375,137107.4951171875
ULTRACEMCO.NS,62,7715.64990234375,478370.2939453125,7654.25,474563.5,7653.7998046875,474535.587890625,7621.75,472548.5,7721.85009765625,478754.7060546875
