,Qty,2023-05-15,2023-05-15_Value,2023-05-16,2023-05-16_Value,2023-05-17,2023-05-17_Value,2023-05-18,2023-05-18_Value,2023-05-19,2023-05-19_Value
BAJAJ-AUTO.NS,166,4564.5498046875,757715.267578125,4538.35009765625,753366.1162109375,4529.35009765625,751872.1162109375,4518.64990234375,750095.8837890625,4483.2001953125,744211.232421875
BAJAJFINSV.NS,530,1421.3499755859375,753315.4870605469,1428.3499755859375,757025.4870605469,1415.4000244140625,750162.0129394531,1415.449951171875,750188.4741210938,1415.0999755859375,750002.9870605469
COLPAL.NS,220,1673.6500244140625,368203.00537109375,1660.949951171875,365408.9892578125,1663.4000244140625,365948.00537109375,1635.5999755859375,359831.99462890625,1608.75,353925.0
DIXON.NS,25,2937.85009765625,73446.25244140625,2912.550048828125,72813.75122070312,2961.10009765625,74027.50244140625,2983.699951171875,74592.49877929688,3035.35009765625,75883.75244140625
HDFCBANK.NS,100,1675.800048828125,167580.0048828125,1647.300048828125,164730.0048828125,1638.449951171875,163844.9951171875,1645.0,164500.0,1646.9000244140625,164690.00244140625
HEROMOTOCO.NS,25,2691.89990234375,67297.49755859375,2686.0,67150.0,2722.949951171875,68073.74877929688,2735.14990234375,68378.74755859375,2713.0,67825.0
HDFC.NS,50,2784.35009765625,139217.5048828125,2722.64990234375,136132.4951171875,2706.14990234375,135307.4951171875,2716.0,135800.0,2710.949951171875,135547.49755859375
INFY.NS,832,1258.3499755859375,1046947.1796875,1264.300048828125,1051897.640625,1246.9000244140625,1037420.8203125,1246.0,1036672.0,1268.9000244140625,1055724.8203125
ITC.NS,5000,427.7999877929688,2138999.938964844,423.9500122070313,2119750.0610351567,427.6000061035156,2138000.030517578,419.7000122070313,2098500.0610351567,419.8500061035156,2099250.030517578
KANSAINER.NS,9900,410.6499938964844,4065434.9395751953,410.7000122070313,4065930.12084961,408.7000122070313,4046130.12084961,415.3999938964844,4112459.9395751953,408.3999938964844,4043159.9395751953
LT.NS,1080,2246.85009765625,2426598.10546875,2227.199951171875,2405375.947265625,2219.60009765625,2397168.10546875,2188.199951171875,2363255.947265625,2190.050048828125,2365254.052734375
M&M.NS,1440,1285.6500244140625,1851336.03515625,1262.449951171875,1817927.9296875,1263.0999755859375,1818863.96484375,1245.5,1793520.0,1260.4000244140625,1814976.03515625
NESTLEIND.NS,25,21786.599609375,544664.990234375,21780.400390625,544510.009765625,21732.5,543312.5,21679.599609375,541989.990234375,21690.150390625,542253.759765625
PIDILITIND.NS,7900,2550.35009765625,20147765.771484375,2544.199951171875,20099179.614257812,2545.10009765625,20106290.771484375,2552.25,20162775.0,2566.60009765625,20276140.771484375
PGHH.NS,50,13976.2001953125,698810.009765625,13847.2998046875,692364.990234375,13840.5,692025.0,13778.2998046875,688914.990234375,13590.599609375,679529.98046875
RELIANCE.NS,402,2489.25,1000678.5,2453.800048828125,986427.6196289062,2439.300048828125,980598.6196289062,2434.050048828125,978488.1196289062,2441.949951171875,981663.8803710938
TCS.NS,408,3255.050048828125,1328060.419921875,3258.14990234375,1329325.16015625,3208.699951171875,1309149.580078125,3199.85009765625,1305538.83984375,3222.85009765625,1314922.83984375
TATASTEEL.NS,2500,107.6999969482422,269249.9923706055,107.4000015258789,268500.00381469727,106.0,265000.0,105.1999969482422,262999.9923706055,104.6500015258789,261625.00381469727
TITAN.NS,50,2779.550048828125,138977.50244140625,2790.25,139512.5,2762.39990234375,138119.9951171875,2721.85009765625,136092.5048828125,2701.64990234375,135082.4951171875
ULTRACEMCO.NS,62,7760.9501953125,481178.912109375,7698.7001953125,477319.412109375,7700.4501953125,477427.912109375,7604.14990234375,471457.2939453125,7681.2998046875,476240.587890625
